No,Case
89,السلام عليكم ورحمة الله وبركاته سؤال بعد اذن حضرتكم انا طلاقي مسافر خارج مصر منذ ٣ سنوات وانا دقولتي رفعت دعوى متجمد نفقة وتحريات بتقول انه ترك محل الاقامه وانا طلبت شهادة تحركات من القاضى ولسه مجبتهش . هل مدة هذه الدعوي طويل لانه خارج مصر  وهل اطلب التحري عن طريق وزارة الخارجية افضل لو حد يقولي اعمل ايه واثبت دخله وحق اولادي ازي لانه لايدفع اي نفقه نهائيا
90,السلام عليكم ممكن اعرف لو عقد الإيجار القديم كان بأسم الجد وتوفى من زمان وكان متجوز في الشقه معاه ابنه وخلف هناك وعيالو اتربو في الشقه اكبر واحد 26 سنة وجه واحد منهم يتجوز في نفس الشقه أو بمعني اصح مراته تقعد معاه هو وباباهوباقي اخوات الاب عندهم سكنهم من زمان بس عايزين يفتعلو مشاكلهل من حقهم أنهم يطلعهوهم بره عشان العقد كان بأسم ابوهم ؟؟
91,السلام عليكم نتمنى تكونو بخير ؟عفاكم محتاجة إستفسار بخصوص حالة كانت خدامة بدون عقد عمل و بدون تسجيل في cnss لمدة سنة كاملة  و تم الطرد من طرف المشغل ! و بدون أخد لا صالير دالشهر لي خدمات و بدون أي تعويضات ؟ فما الإجراءات الممكنة للمطالبة بحقه ؟ وهل القانون فصفه أم في صف المشغل في هاد الحالة ؟ و شكرا جزيلا
92,بعد ازن الجميع محتاج استشاره قانونيه ضروري ممكن حد يساعدنى من فضلكم
93,المحامي اخد الصيغه التنفيذيه للحكم وهي مش بتطلع غير مره واحده وانا مش بتعامل معاه عشان كل ما يشوفني يقول عايز فلوس ومبيشبعش فلوس حرفيا فعايزه اجيب الاحكام بطريقه تانيه بدون الاختلاط بالمحامي عشان اجيب النفقه من بنك ناصر واعمل معاش مطلقه بتاع تكافل وكرامه ، ايه الحل ؟
94,السلام عليكم.  ملف التعويض من شكة التأمين .  كيف يمكنني معرفة هل تم تنفيذ الملف ام لا وشكرا
95,متاح الكشف على الأحكام الجنائية على الأشخاص فى كافة أنحاء الجمهورية  يظهر الأحكام والقضايا المسلجه على الكمبيوترللتواصل علي الخاص
96,سلام عليكم .أنا كنت خدام عند واحد السيد مدة ديال 7 أشهر هاد السيد عندو شركة ديال توزيع الحلويات خدمت عندو مدة ديال شهرين aide venduer فالأول طلبلي فوطوكوبي ديال لاكارط ناسيونال وفوطوكوبي ديال رخصة السياقة منين دازت شهرين عطاوني سيارة نخدم بيها تما طلبلي جوج شيكات فيهم 50000 درهم كضمانة علا السيارة والسلعة اللي فيها انا مغلوب علا امري مالقيت ماندير عطيتو الشيكات فيهم القدر المالي المدكور والسينياتور بلا تاريخ من بعد خدمت بداك السيارة 5 اشهر فادا بي كانتفاجأ بالسيد جاب واحد يخدم فبلاصتي وقالي ديه معاك دربو هو ناوي فيا الغضر علا اساس يتعلم السيد اللي جابلي نعلمو ويجري عليا من بعد بعد مرور ايام قليلة وقع سوء تفاهم بيناتهوم ومشا بحالو داك السيد اللي جابلي ندربو جا العيد الكبير قال ليا حط السيارة مشيت عيدت عادي دازت سيمانة مور العيد رجعت لخدمة لقيتو جاب واحد آخر فبلاصتي مع العلم انه كان مخدمني فالنوار مامديكلاريليش فلاسينيسيس ملي طلبت شكيات ديالي  رفض اردهوم ليا مع العلم انني حطيت ليه طوموبيلتو قبل العيد الكبير هاد السيد كايسالني 4000 درهم كنت كانخلصو من الخدمة منهار جرا عليا من خدمة مزال جالس وهو شادلي الشيكات علا اساس ايلا خدمت مع شي شركة منافسة ليه فالسوق يدفعلي الشيكات كأنه كيبتزني بداك الشيكات . عندي البونات باش كنت كانشارجي السلعة كل نهار البونات فيهم سميت الشركة ديالو يعني عندي الدليل انني خدمت عندو وعندي حتا الشهود شي حد يوجهني شنو ندير نسترجع شيكات ديالي من عندو او واش ممكن نتابعو عند مفتش الشغل بتهمة الطرد من العمل
97,سؤال غريب شويةمطلقه خلعا بحكم في شهر 6 لسنه 2021 و في نفس الوقت كانت عامله قضية اجر حضانه و نفقات و اخدت نفقات و اجر الحضانه اترفضت بحكم نهائي في شهر 9 2021   رفعت دعوى جديده حاليا تطالب بأجر حضانه من شهر 6 لسنه 2021 دافعت بسبق الفصل فالدعوى و قدمت صورة رسمية من الحكم النهائي و مذكور بوضوح رفض اجر الحضانه و لم يذكر انه وقتها في خلع و قدمت صورة رسمية من حكم الخلع الغريب سمع شاهد اليسار و اجل لطلب صورة رسمية من خكم اول درجه الخاص برفض اجر الحضانه مع اني مقدمله حكم الاستئناف و مذكور انه اترفض فالدىحتين و اخالها لحكمين اي الحل فيها
98,استشارات قانونيه بقضايا محكمه الاسره  
99,سلام بغيت نسقسي طفل في عمره عام و حاكمين على بوه يديه نهار كامل و كيلحق عامين يديه يبات بغات امهم تقوت شرع باش ينقسوله شوياا طفل معاش مع بو و ميعرفه و ميرقدش بلا امه حتي يكبر يولي يقرا و يبات عنده هل عندها الحق و يقبلولها خطرش كاين لكابر و حاكمينلهم في نهار يشوف ولاده ماشي المبيت
100,(اهم الفروق بين بعض الإجراءات )أولاً: الطعن:الطعن: هو الاعتراض على الحكم الصادر وإعادة نظره ولا يجوز الطعن إلا من المحكوم عليه، ولا يجوز الطعن فى الأحكام التى تصدر أثناء السير فى الدعوى ولا تنتهى بها الخصومة، وله عدة طرق منها الطرق العادية وهى المعارضة فى الحكم أو الاستئناف أو بالنقض أو التماس إعادة النظر.ثانياً: الاستشكال:الاستشكال: هو الاعتراض على تنفيذ حكم قضائى مشمول بالصيغة التنفيذية أما بعريضة أو أمام المحضر وقت التنفيذ وقد يكون من المنفذ ضده الحكم أو من الغير .ثالثاً: الاستئناف:الاستئناف: هو إعادة نظر الدعوى الجزئية أو الابتدائية أمام دائرة استئنافية.رابعاً: النقض:النقض: هو الطعن على حكم محاكم الاستئناف إذا شابها مخالفة فى القانون أو خطأ فى تطبيقه أو تأويله أو إذا وقع بطلان فى الحكم أو بطلان فى الإجراءات أثر ذلك الحكم، ولا يترتب على الطعن بالنقض وقف تنفيذ الحكم ولكن يجوز لمحكمة النقض أن تأمر بوقف تنفيذه مؤقتاً إذا طلب ذلك فى صحيفة الطعن وكان يخشى من التنفيذ وقوع ضرر جسيم يتعذر تداركه.الفرق بين الاستئناف والنقض :الاستئناف يكون دائماً فيما يختص بالأحكام من حيث صحة التكييف القانونى صحة التكييف القانونى وتقييم الأدلة من واقع المعطيات ، أما بالنسبة للنقض فهو يكون فقط فى حال الخطأ فى تفسير القانون لأن المحكمة العليا هى محكمة قانون ولا شأن لها بموضوع الدعوى.#ثقافة_قانونية
101,شنو ديرو الى طحتو فشي مشكل ومبغاوش يشهدو ليك ناس واش كاين شي حل قانوني فهاد الحالة
102,هل من محامي جزائري هنا أريد أن أستشيره
103,سلام خوتي انا خويا كان مجند فقشلة سيدي يحيا لغرب دوز 4 شهور دسطاج ديالو وخرج كونجي وقعلو موشكيل مشالو تيليفون مشاتلو ورقة تيترا باش يرجع دازت شهرين لقا داكشي ديالو ورجعناه لقشلة قالو لينا ماتخافو من والو فاش رجعنا عندو نديولو تيليفون قالو لينا راه فالعرجات فاش سولنا على العرجات واش قشلة لقيناها حبسلي عندو باش يعاونا الله يكثر خيرو راه حالتنا عالم بيها غير الله
104,السلام عليكم ورحمة الله وبركاته لو عندى قضايا كلها براءات وعايز احذفها او امسحها علشان لاتظهر في التحريات ايه الإجراءات سواء جنح او جنايات وبتاخد كام المدة وتمسح.
105,لما استاذك يطلب منك هاتلي قرار جلسة كذا ((جنح)) مثلا بس الجلسة دي  اول جلسة.جلسة معارضة. جلسة استئناف جديد. جلسة معارضة استئنافية.وتروح وتلاقي القرار...  كأن لم تكن.  قبول ورفض وتأييد.  قبول والغاء وبراءة.  قبول وتعديل الحكم المعارض فيه.   غ/ عدم قبول.  غ/ سقوط.  احاله الدعوي المدنية.  عدم اختصاص.  مد أجل. احاله.#ممكن حضرتك متكنش القرارات دي متوضحه ليك وممكن تكون محرج تسأل #الموظف يعني ايه القرار دا... ان شاءلله هوضح لحضرتك معني القرارات بالكلام البسيط. الشرح المبسط....#طبعاً كلنا عارفين معني «التقاضي علي درجتين»...ويعني ايه #حكم_أول درجة ويعني ايه #حكم_تاني درجة. لما يكون فيه قضية(ضرب) وتكون اخددت جلسة وصدر حكم #غيابي مثلا ب ((غيابي سنة وكفالة1000ج +المصاريف  وحصر 111ل2022)) #والاختصار غ/سنه وك1000ج +م ح/111ل2022... معني كدا ان في اول جلسة صدر الحكم دا. #طب المفروض الاجراء اللي هيتم بعد كده  ان انا #هعارض ف الحكم دا وهيتحدد #جلسة_معارضة وصدر في الجلسة حكم ب((كأن لم تكن)) او ((قبول ورفض وتأييد)) او (( قبول ورفض وتعديل))  معني دولت ايه _1:- كأن لم تكن...#انا مثلا عملت معارضة بمعني دلوقتي الحكم كتيير ومحتاج اعدل فيه بعمل معارضة بس محضرتش في الجلسة يبقي انا كده اكني معملتش المعارضة._2:- قبول ورفض وتأييد او تعديل. #معني كدا ان انا حضرت  وطلبت طلباتي  بس الحكم إتايد بتاع اول درجة.  يعني قبل المعارضة ورفض الطلبات وايد الحكم. او عدله من سنه لشهر مثلا...#طب بعد كده الاجراء اللي هيتم هعمل #استئناف وهيتم تحديد جلسة. وصدر في الجلسة حكم ب.. ((غ/عدم قبول)) او ((قبول والغاء وبراءة))_1:- غ/عدم قبول... #انا مثلا عملت استئناف بمعني دلوقتي الحكم برضو كتيير للمتهم ومحتاج اعدل فيه تاني بعمل استئناف بس محضرتش في الجلسة يبقي انا كده اكني عملت الاستئناف بس محضرتش ومتقبلش. _2:- قبول والغاء وبراءة. #معني كدا ان انا حضرت وطلبت البراءة والقاضي قبل الطلبات ولغي الحكم بتاع المعارضة وحكم بالبراءه...#طب بعد كده الاجراء اللي هيتم ان هعمل #معارضة_استئنافية لو الحكم لسه زي ماهو وصدر حكم في الجلسة ب ((غ/سقوط)) معني كده ان عملت معارضه استئنافية ومحضرتش  واصبح الحكم  نهائي وواجب النفاذ._1:- احاله:- #معني كلمة إحالة يعني الجلسة كانت يوم كذا بس القضية مش هتتنظر قدام القاضي فبتاخد إحالة لجلسة تانيه وقاضي تاني. _2:- مد أجل:- #معني مد اجل يعني القضية اتاجلت مره واتاجلت تاني فهتاخد مد اجل تاني.._3:- احاله الدعوي للمحكمة المختصة:- #معني كدا ان الدعوي او القضيه اتحالت للمحكمة المختصة بنظر الدعوي. _4:- عدم اختصاص. #معني عدم اختصاص ان القضيه مرفوعه في محكمة مش ف نفس المحكمة المختصه بنظر الدعوي. يعني مثلا القضيه مرفوعة في كوم حماده والمفروض تترفع في ايتاي البارود فهتاخد عدم اختصاص..تحياتي #احتفظ_بالبوست... مؤسسة عزب للمحاماة والأستشارات القانونية
106,مساء الخير.. اذا سمحتوا فيه سيارة ميراث بعد وفاة والدي وهي موجودة في منزل زوجته التانية من سنتين.. وحاولت هي وأولادها خداعي مرة للتنازل عن حصتي في السيارة دون أن أدري ومرة لتجديد رخصة القيادة حتى تتمكن هي وأولادها استخدام السيارة والتنقل بحرية.. مع العلم انهم خلال العامين بالفعل استخدموها ولكن في نطاق محدود.. من شهرين تقريبا توجهوا للمجلس الحسبي للمطالبة ببيع السيارة عندما فقدوا الأمل في خداعي .. خاصة أن ٣ من اولاد زوجة أبي هم قصر لم يبلغوا سن ٢١ سنة.. هي لا تطلعني على أي تفاصيل تخص السيارة ولا يتواصل معي أي أحد من اخواتي إلا عندما يريدوا أمضائي.. أو خداعي كما ذكرت.. فهم تواصلوا معي من كام يوم وطالبين اني اذهب للمجلس الحسبي لأترك توقيعي على ورقة بيقولوا انها تسمح لنا جميعا بالبيع حتى يأخذ كل ذي حق حقه.. وبيقولوا انه بدون توقيعي في تواجد جميع الورثة وتوقيعهم على نفس الورقة فلن نستطيع استكمال البيع.. فهل هذا صحيح؟ خصوصا انه المحكمة خلاص أذنت بالبيع .. انا محتاجة اعرف ايه الورقة دي ؟ وهل هي خدعة جديدة؟ كمان محتاجة اعرف هل ممكن ان ارفض بيع السيارة؟ وهل ان رفضت يمكن أن تنتقل من حوزتهم لحوزة جهة حكومية تحافظ عليها لحين البيع؟؟ أم ستبقى السيارة كما هي تحت سيطرتهم؟
107,عندي دار فالسطح كريتها لواحد بكونطرا بغيت ندير اصلاحات في جزء منه لا علاقة له ف المكان الدي إكتراه مابغاش إتساعد معايا بدعوى انه مكايكونش ف الدار او مايقدرش إخلي باب السطح محلول من اجل الاصلاحات رغم ان الامر ليس كدلك المهم عكس معايا واش كاين شي حل او لا
108,السلام عليكم،بدأت مؤخرا عملا كمترجم عند مؤسسة هجرة و اسفار عالمية، لا أملك عقد عمل و لا تأمين اعمل بشكل حر على طريقة .free-lance. اقوم بترجمة وثائق و مستندات الهجرة الخاصة بالزبائن ولكن لا اضع ختم او توقيع عليها لاني لا أملك ختم و لست مترجم محلف و ليس لديا شهادة جامعية في الترجمة اصلا، فقط متمكن جدا في اللغات و في الترجمة، عند الانتهاء من ترجمة الوثيقة ارسلها للمؤسسة في الايمايل و تقوم المؤسسة بالإجراءات اللازمة لتصبح وثيقة قانونية تستعمل في ملف الهجرة ولكن لا أدري بالضبط ماهي هذه الاجراءات، لهذا اتساؤل فيما اذا كان عملي قانوني و لست ارتكب جنحة دون علمي ؟ البلد الجزائر.  شكرا
109,#بالنسبة للناس اللي بتدخل تكلمني #خاص حضرتك داخل #تستفسر عن حاجه #معينة مثلا مش حضرتك تبعتلي #مشكلتك كلها عبارة عن #مقال وطالب مني #اقراها واقولك تعمل ايه ... طب ماهو انا #بوفر عليك وبقولك كلمني #فون  هيكون أفضل ليك بكتييير طبيعي الرد « مينفعش »... علي أساس انا اللي محتاج المعلومة مش حضرتك ...#ياريت تفهموا قصدي كويس ...
110,السلام عليكم . كل عروسة مكتوب كتابها ..أمها أرملة أو مطلقة ومعاها قسيمة الزواج .. ولم يتم الزفاف بسبب تعسر جهازها سيتم مساعدتها بمبلغ ٥٠٠٠ جنيه نقدآ ،،، والتواصل على تليفون :- 01154707980. 01021333742. 01129131308. 01141124194. لتجهيز الأوراق المطلوبة ... والناس اللي مش لاقية معظم أدوية السرطان في السوق اللي محتاجهم يتصل على الأرقام دي :- 01154707980. 01095238238. 01002892532. ياريت تاخدوا كوبي لو مش عايز تشيره عشان يظهر لكل الناس... ( الدال على الخير كفاعله )‏. اللي يعرف عائله محتاجه ملابس أو ناس محتاجين لبس ايا كان... توجد ملابس واحذيه كثيره جديده وغير مستعمله وياريت يتواصل مع رقم. 01011465628. اللي عنده جروبات انشروها جزاكم الله خيرا ... لان كميه الملابس كبيره.. و الدال علي الخير كفاعله.. في دكتور متبرع انه يعمل ٥٠ عملية في مصر زراعة قوقعة للاطفال مجانا اللي يعرف حد محتاج العملية يتواصل مع مس نيفين ايليا. 01223710871. او مع مؤمن. 01123530303. واللي يعرف جروبات ممكن يشير ويفيد حياة انسان. الدال على الخير كفاعله. #صاحب الاثر
111,تقدر تعقد على وحدة اكبر منك راجل 22سنة و فتاة 30سنة وهي موفقة على زواج في قانون تقدر تعقدو عادي بدون مشاكل ولالا
112,متاح الكشف عن الاحكام الجنائيه وتسديد ومحو البيانات من الكومبيوتر
113,سلام عليكم انا عندي واحد المشكلة في محكمة واحد سيد تعدا علا لواليدة وهجم عليها لدار بكلابو او كاين فيديوات او حتا واكيل ماليك تهمو بضرب و جرح او تهجم علا مسكن الغير كانو تلاتة ديال جلسات ماجا فحتا وحدة او فلخر قاضي عطاه برأة متسرطاتش ليا حسيت بل حكرة شنو نقدر ندير فهاد الحالة
114,محتاج محام من مدينة نصر له سابق تعامل مع حى غرب مدينة نصر
115,السلام عليكم، ساكن انا و واليديا فواحد الدار جات فزنيقة فالقامرة فالرباط، و حدانا واحد مول الألمنيوم و حداد، كايبداو الخدمة يوميا مع ال 9 و كايبقاو هاكاك تال ال 6 ولا 7 د العشية ماكايحبسوش، ماكايخليونا لا نعسو لا نرتاحو، الصوت د الماكينة مجهد بزاف و كايتسمع عندنا وسط الدار، اللي فايت لو سمع صوت الماكينة را غا يعرف علاش كانهضر، السؤال ديالي هو بغيت نعرف واش كاين شي اجراء قانوني نديروه؟ عيينا مانهضرو معاهم و نطلبو منهم يديرو داكشي بالوقت و والو!! مع العلم مابغيناش نقطعو رزقهم و مابغيناش نجريو عليهم، بغينا غير شي اجراء قانوني اللي يفرض عليهم يحتارمونا و يخدمو بالوقت.للعلم الزنيقة اللي ساكنين فيها حنا فيها بزاف د العائلات، القليلة غاتكون شي 10،و كولشي كايتشكى.
116,السلام عليكم البارح مشيت مع عون قضائي أبلغ دعوة الرجوع لبيت الزوجية وريتو دار الزوجة ديالي مشا ليها لقا الام ديالها بلغها ومعطاتوش الاسم الحقيقي ديالها. وقال ليا العون القضائي نصيفط ليه الاسم الحقيقي ديالها. واش ممكن نستغل هدا الفضيل في التحايل؟
117,السلام عليكم ارجو الرد ضروري انا هنقل القيد ابتدائي اول الشهر وانا كنت جهزت الاوراق وطلعت البطاقه الضريبيه دلوقتي هي مش ضروريه لنقل القيد لابتدائي وانا مش هرفع اي دعاوي باسمي حاليا ينفع اقفل الملف الضريبي وايه الاجراءات الي المفروض اخدها ؟
118,ياجماعه أنا من سكان التجمع الخامس أنا اتسحلت من بواب العماره عشان سرقني ومنعته يطلع بيتي كلم جوزي وبيقذفني بشتم وقالي مجنونه فنزلت اقولو إزاي تكلم جوزي وتكلم عليا كدهاتحرش بيا وضربني وسحلني في شارع وقعدو يقولولي يابنت الكلب هنمشيكي يابنت الكلب وشدو شعري الجميع #عايز_حقيأنا عايزه حقيالبواب سحلني في شارع وشتموني وقذفوني وشدو شعري اتسحلت#عايز_حقي#عايز_حقي#عايز_حقيمطروده بره البيت ولما قلت لبواب هبلغ البوليس قالي هيعمل إيه البوليس أنا ساكنه في البيت بواب عماره يسحلني في شارع واصلا سرقنيوشتمني قايل مجنونه وسرقوني فنزلت أدافع عن حقيئ ضربوني وكاميرات موجوده وناس شاهدهعملت محضر بالواقعه بس عايزه اخد حقي لسه مخدتهوش
119,بعد اذنكم انا لو معايا عقد ارض زراعيه ومكتوب فيه عدد القراريط مثلاً والاتجاهات شرقى وغربى وقبلى وبحرى بس مش مكتوب الطول والعرض كام متر فى الاتجاهات والعقد معمول من فتره قريبه . وفيه اثنين شاهدين على العقد . هل العقد دا صحيح  وقانونى ولا لأتحياتى للجميع
120,"تم افتتاح صيدليه مجاناً لغير القادرين كل يوم من ١٢ إلى ٥ ماعدا السبتللتواصل: 01110286536كوبي بيست عندكم في ناس كتير جدا محتاجين ..[لو حد يعرف أي مريض فيروس سي فقير أو غير قادر على ثمن العلاج يتواصل معايا (علاج وتحاليل مجانا)01144556262 / 01017557267 د.خالدصابرانشرها عند اي حد تعرفه : دواء للسرطان اسمه جلافيك 100.. GLIVEC 100MGسعر العلبه 11 الف جنيه موجود مجانا اللي معاه "" الروشته امانه عليك وفرقبتك خدها ونقلها ع أد ماتقدرالدال على الخير كفاعله وربنا يشفى مرضانا الحمد لله"
121,"السلام عليكم ، الله يخليكم انا كنت داير محامي نائب عليا فدعوة الطلاق الشقاق اتفقت معاه على الاتعاب اللي هيا 4000 درهم ,هاد المحامي كانت عندي الجلسة وماكانش عندي جواز التلقيح مخلاونيش ندخل قلت ليه  اجلها  ملي خرج عندي قالي لا مايمكنش نأجل راه ايخص يتعاود الملف من الاول مع العلم ملي سولت قالولي عندو الحق يطلب من القاضي يأجل الجلسة،ملي طلقت  قالي زيدني 500درهم تكاليف الملف الجديد انا رفضت وقلتلو تافقنا على 4000 درهم راك خديتيها ،دابا وصلني استدعاء من عند مفوض قضائي بلي المحامي كيقول بلي ماعطيتوش الاتعاب وخصني نمشي ناخد الرسالة ونجارب عليها. عفاكم واش نمشي ناخد داك الورقة من المفوض ولا منستالمهاش وشنو تنصحوني ندير مع العلم انو مكانش كيعطيني حتى توصيل ملي كنت كنعطيه الفلوس ولكن كانو معايا العائلة كشهود.شكرا بزاااااف"
122,السلام عليكمعندي بلاغ ضد زوجته أنا من القاهره متزوج من كفر الشيخ منذ ١٥سنه عندي بنت ١٤عام ولد ٨سنوات وبدون اي مشكلة سرقة بعد الأشياء والموبايل ثم بعد ذلك سفره إلى البلد عند خالتها ثم بعد ٢٠يوم أنا رحت وحولت رجعها لم اتمكن فطلبت الهاتف وأخذته وسفرات الي القاهره بعد فحص الهاتف تبين أنه علاقة غير سوية مع عدد من الأشخاص منهم مكالمه مسجله تدنها بزنه حولت إني اعمل محضر في قسم الشرطة  لن أتمكن وحولت اعمل بلاغ اتصالات لن أتمكن وحولت أن أحل هذا الموضوع في هدوءا  هددوني بالقتل ماذا افعل  والاولاد لم يحضرون الدراسة من اول العام
123,كم مدة تنفيذ حكم اعادة الماء للمكتري او منحه عداد خاص به علما ان قاضي المحكمة منح الحكم لصالح المكتري
124,مساء الخير زملائى الاعزاء لدى موكل فى طريقة الى شراء شقة بمساكن التعاونيات واتفق مع صاحب الشقة على التنازل عن الشقة بالجهاز مقابل مبلغ محدد بينهم وتم اعطائه شيك مصرفى بقيمة المبلغ وتم الذهاب الى الجهاز لعمل اجراءات البيع واول هذه الاجراءات هى التنازل وثانى الاجراءات هى كتابة العقود فى الجهاز بعد 20 يوم وتم الذهاب الى الجهاز وتم عمل التنازل من جانب البائع و متبقى كتابة العقود بعد 20 يوم كطلب الجهاز فؤجى موكلى بعد ذلك ان البائع عاوز مبلغ اكثر بكثير من المبلغ الذى كان متفق عليه و الذى تم اعطائه شيك مصرفى به والا سوف يرجع فى البيعة ولا يوقع العقود ما الحل مع هذا البائع الجشع الغير ملتزم بكلمته وشكرا
125,السلام عليكم (  ارجوكم رد وربنا يجازيكم خير )دلوقتى انا مأجر شقه بعقد سنه فى ٢٠١٩والمؤجر قاعد من ساعتها عادى بدون عقد جديد وكان بيدفع ايجاره عادى الى ٢٠٢١و ٢٠٢٢ المؤجر مبيدفعش ايجار ولامياه ونور الى الان وروحت لمحامى من ٥ شهور يعملى دعوى طرد ،  المحامى اول مره قالى بعتولو مردش عليهم ومحضرش اول جلسه  اتأجلت شهر تقريبا بعديها قالى اتأجلت والجلسه الجايه هياخد حكم واخر مره بيؤلى الجلسه اتحولت لمحكمه غير المحكمه اللى العقار تابع ليها فى مدينه اخرى بنفس المحافظه عشان العقد من ٢٠١٩ وهياخد حكم هناك بعد ٤٠يوم (الكلام ده صحيح ولو عايز اتاكد منو اعمل ايه ؟والحكم هيكون ايه وهاخد ايجار المده دى لغاية صدور الحكم ولا ايه ؟ وايه اللى هيتم بعد الحكم )اسف لو طولت جزاكم الله خيرا
126,للسلام عندي حكم نهاءي والتنفيد وصل ضد صندوق ضمان حوادث السير من 2021 شهر 6 لحد الساعة لم يستجيبو ليريلو 28 الف درهم كيف سنتعامل معهم
127,الاخوان واحد الصديق يبحث عن مساعدة قانونية:ما هو الاجراء المتبع في حالة رفض رجال الدرك تسليم محضر حادثة السير و كذلك تماطل في إرسال المحضر إلى المحكمة.
128,مكتب الاستاذة نهله بدر  يقبل جميع الاستشارات القانونية علما ان مقابل الاستشارة مائة جنيه ترسل علي الرقم 01003132069 فودافون كاش او اورنج كاش 01270540641 او تدفع عند الزيارة في المكتب  وايضا يقوم المكتب  باداء  جميع قضايا الجنايات والجنح وحضور التجديدات والتحقيقات  والكشف عن الاحكام والمحاضر علي الكمبيوتر  والمدني و  صحة التوقيع وصحةالنفاذ  والتسجيل في الشهر العقاري  والاسرة  طلاق للضرر وخلع واعلام الوراثة والنفقات  وعمل الاقامات وزواج الاجانب والجنسية  والتجاري وقضايا الانترنت وقضايا سرقة التليفونات  وايضا كتابة جميع انواع العقود   وايضا عمل  السجل التجاري والبطاقة الضريبية وايضا عمل كل الاجراءات المعاشات والتامينات وقضايا التخلف عن التجنيد والقضايا العسكرية  وكتابة عقود الزواج وكتابة عقود بيع الشقق وتسجيلها  وانهاء كافة التراخيص من  الاحياء ونقل مرافق الغاز والمياة والكهرباء والفون وايضا يوجد تخليص كافة الاوراق المتعلقة بالسجل المدني وايضا لو حد محتاج شقة ايجار او تمليك مقابل عمولة علما ان المكتب بيشتغل لكل المحافظات المكتب عنوانه سيدي بشر جمال عبد الناصر عند جزارة السماح والرضا  للتواصل خاص او علي الارقام الاتية 01270540641 و01003132069
129,_:- ليه المحكمة ممكن تحكم على متهم مع #إيقاف_التنفيذ ، ما تديه #براءة على طول...؟ _:- مبدئيا لازم نعرف إن إيقاف التنفيذ بيكون في حالة لو كان الحكم يقضي بالحبس مدة #سنة أو أقل ، يعني مينفعش يصدر حكم بالحبس #ثلاث سنوات مثلا مع الإيقاف. #طيب نجيب الموضوع من اوله ، في كام سؤال منطقيين غير المتخصص اكيد هيسألهم...#س:- ليه القاضي يحكم بحبس المتهم مع إيقاف التنفيذ ، ما يديه براءة على طول ، وهو ايه الفرق بينهم...؟#ج:- إيقاف التنفيذ معناه انك مدان ، والجريمة ثابته ، لكن المحكمة راعت إعتبارات معينه زي اخلاق المحكوم عليه أو ماضيه أو سنه أو ظروف ارتكاب الجريمة فحكمت بالحبس مع الايقاف ، لذلك هو غير البراءة...#س:- طيب برضه ايه الغرض من الإيقاف طالما انا مدان...؟#ج:- الغرض إن القاضي بيحس انك محترم ، ولن تعود لإرتكاب الجريمة مره أخرى ، فبيحكم عليك بالحبس مدة أقل من سنة مع ايقاف التنفيذ لمدة ثلاث سنوات طبقا للماده ٥٦ عقوبات. #س:- يعني يحصل ايه في خلال الثلاث سنوات وهي فترة الإيقاف...؟#ج:- السؤال ده هو جوهر الفكرة كلها ، انك خلال الثلاث سنوات لو ارتكبت جريمه عقوبتها الحبس اكتر من شهر ، بتنطبق عليك العقوبه الاولى اللي القاضي سبق واوقف تنفيذها ، وده طبعًا بالإضافة لعقوبة الجريمة الجديدة ، لإنك هتكون أثبت إنكك غير جدير بوقف التنفيذ وإنك تميل لإرتكاب الجرائم. #س:- طيب لو عدت الثلاث سنوات ولم ارتكب جريمه..؟ #ج:- هنا هيعتبر الحكم الصادر مع الإيقاف كأن لم يكن ويسقط بكل اثاره الجنائية ، وكذلك لايُعتبر سابقة من سوابق المحكوم عليه ، وتعود صحيفتك ناصعة البياض. #الله_الموفق...
